invoice_code,amount,due_date
286592c3-6aab-4d91-bc9d-2e3a80eeada4,gX,09 11   2022
8c0406d3-270b-4e78-b207-6741784dfce1,jM,15 11   2022
4y5a1prt,22738,2022-12-19
82738d34-a6fb-409f-9cd6-27fa6f52335c,Fp,0912/2022
c9wv52hr,8507,1411/2022
spy73eln,ZA,15 12   2022
69d95a44-bba7-415c-b4fc-7624dfbebd4a,Mm,18--12--2022
ia6tvu10,Ly,28 10   2022
52679da4-e24f-4769-b480-967da96f7aa3,31562,2022-12-05
e1b9d285-2b3e-4d79-a525-ff81bcb2fd12,o4,30--11--2022
83cd060d-c8fb-490a-9968-ed57e0e98f5f,8539,2022-11-05
bvzd1q0o,60135,2911 2022
9deb9422-007e-4f33-b585-5d8b44f136d3,7x,2022-11-09
00aa1938-6811-455b-9e83-e233a4a02fc4,Ty,22 12   2022
fa1fb932-7273-4eec-b677-8f595238e301,83465,2022-10-26
j19utr0n,jz,2022-12-21
effd3b28-a026-4abe-abbf-4e9f5e9e9369,68816,21--10--2022
nj70otgf,Ex,22--11--2022
f37066e3-9beb-4ae2-817f-74117fd771e6,243,21 10   2022
ktafuqi5,4586,2022-10-23
47828dba-b7e4-453b-ba9f-2e52c5a52836,0t,1311 2022
b5df6bdf-fadb-498f-9b6e-573a307f2c31,3y,27--11--2022
05a45ed7-16b1-44a1-9dae-6c6392cbb782,67121,16--11--2022
tq3i8urw,76433,21--10--2022
990558c8-eed2-4f28-9932-8f72d139f6a1,5S,1911/2022
1hvtsg70,2t,1112/2022
8db4c729-1109-4a3c-9bb7-eb0d215976d9,11495,1811/2022
5f75477e-ce90-4288-9c1e-624648006178,39025,26--10--2022
iujfm6g7,6q,1711/2022
2197e3cf-7475-4629-ae35-242b01d095e7,2787,16 12   2022
7c626490-7ee5-448f-83c0-b79944fcaf71,49628,16 11   2022
e909699d-e60d-475a-a5f6-bd46a3a710d3,24079,09 12   2022
c7cfadb4-c24e-435b-93f3-3830c5436f46,aq,27 10   2022
yxsb7c5e,66140,18--11--2022
8e10e71a-37dc-4e59-bec0-9053d5284264,24002,1112 2022
d491a18b-0409-4a09-8015-4220c0a488fe,ly,20--12--2022
k2wf4zn7,Po,13 11   2022
5ffe7acc-5e50-4482-a8ee-8af06c801b34,6M,0612 2022
4b2m7dfp,47645,29 11   2022
707a3869-a267-4d81-92dd-7549355f134e,74109,2022-11-13
4af8fa5a-0d65-4cc1-bf05-d4adcebf7e86,26427,1412 2022
527b2bbd-fe53-4d52-9359-af563d0e74e2,40292,06--11--2022
31u0tm8e,46660,2022-11-03
lvky367g,24145,2022-11-16
63959ab3-bba7-4870-a214-48ab81e743e8,c2,2022-11-02
miwrtcfn,31496,1511/2022
05bd4bab-3c7f-49ba-8e7a-3d88d024f27e,79185,11--12--2022
ikfdyqv1,34702,2022-11-18
ak9wshxu,8h,2022-12-11
86a703de-6ebb-4040-bcfd-2b2fe689c382,12981,2022-11-06
ry8civok,39565,0812 2022
2f609366-3bfa-4ea2-8c99-94ee9f34bd9e,mk,26--10--2022
ca955fd6-6f4a-443b-8941-bf18171fbd5f,51246,1112/2022
384h2ext,0d,2911 2022
6un0k3jd,17417,0411 2022
f5245656-7a85-4ae8-809d-bdc376109642,54789,0411 2022
52vfhus3,iW,09 11   2022
a4b88d16-34f7-4aee-a0ad-de07daebfac4,Hs,2411/2022
6c2febe3-7771-4ced-bbc4-62ef181b13c1,47549,1511/2022
36datqnc,IR,1811 2022
a848ba68-63fb-433e-b772-210635d288d5,83898,2611 2022
wria08g9,74763,03--12--2022
clw094kf,13998,1511 2022
8a974144-e22f-4c07-8d1d-5e43ff6bc9b7,49307,22--12--2022
xz0pis2m,49046,21--12--2022
ejl1m5h8,68981,1811/2022
2wfiu5gk,6A,07 12   2022
8a5dacbc-93d4-455e-afb3-cc0b97b33ed0,mA,21--11--2022
qmf54n3e,9754,13--12--2022
71sjoepa,48712,0911/2022
jow0c4e5,da,2022-11-06
bf0564a5-5cd5-452f-8e52-8239c99ad583,Jn,2710/2022
2e22c4c2-b867-4e70-bfe7-f83f22ea363b,57750,27 10   2022
54a6f0b8-a10c-45cc-9807-8f4d6b8555cc,44000,2022-12-12
5ecf1bd6-a359-4c48-844e-99f38a5bdd2d,oe,2022-12-16
9bb82ff2-1c9e-4018-816c-e4b3cccea8de,cN,1612 2022
d9df0a97-66a4-4bab-9455-f5a8a618bddc,57294,05--11--2022
1c773f8a-dd3e-4430-8e7d-4196e37a639b,84736,2022-12-21
f6f94404-98f8-47c1-bd8a-66f5be136a88,48338,12 12   2022
5db8d470-0d0b-4254-b65f-078e9a8c90ff,UB,1711 2022
40kt2arw,gG,0712/2022
mbu4yk6t,fT,2911 2022
o6tqys59,fO,2022-11-09
2dl8fg4k,5n,3011 2022
sb39uk4d,28756,16--11--2022
aptdykon,zF,2710 2022
e3e9dbd8-c06d-456b-8be7-05290407ceb6,7902,0612/2022
1f9507ca-76fb-48f9-bf17-823cc4a4285c,Sx,29 10   2022
4xjsbwtq,11035,3010/2022
yobl87ng,11279,18--11--2022
v4p0gty1,ip,05 11   2022
dywkpgjn,w3,2022-11-10
tqju25w0,27304,1812/2022
n94pdrw8,ab,25--10--2022
c7e8gt3d,eL,2312/2022
ok9bguq8,LI,11--12--2022
rv2upy9d,lB,03 11   2022
yvham6uj,13235,2022-12-13
f7b3c558-6a22-4cb7-84d0-6821b57f336f,45254,2011/2022
ep9a4ywk,c0,0312/2022
c9e5a771-4a60-4878-b1e8-5f8fb6fb1f98,7p,0611 2022
n8z6cthp,49723,24--12--2022
c53ba610-0677-416c-bfa5-30c907e1e3cb,54328,2411/2022
3d62dc6c-c2b0-4d54-8f93-cd236265dbad,cf,1112/2022
we1xy8b4,68280,2022-11-17
b3uaczj9,15,0911/2022
q80jmht2,51888,2012 2022
y153xwor,37323,0912/2022
2894e94d-c099-4821-b507-0c38761d08ea,or,2022-11-20
90dc68ce-21c9-4e50-b345-ae2e8db7f51c,69456,22 11   2022
91494849-40fe-4c12-976b-f48875892a79,81,12--12--2022
8sglo72v,72582,07 12   2022
q1en9x8r,52905,04 12   2022
ws2z5f8t,52989,21 10   2022
2boql13j,18349,07 12   2022
533bbabe-cfa4-4025-9b3e-61948fe927a1,Ke,23--12--2022
b0689349-dbc7-4c24-935f-e76d1ceb93f5,77263,1912 2022
m39l10pu,rM,1511 2022
3a5ec78f-6f47-4659-9ad9-93a77ba40971,yp,21 12   2022
8141266f-2d4c-459b-b67f-826c9fc42a99,Qq,2022-11-29
d948721a-7d15-46c3-9a1e-12d2945bede3,36364,1511 2022
536563a4-2d1b-453b-804e-8d8bfec09014,cE,2022-10-30
9uwdlvz8,cI,1812 2022
0fbe1ab2-72c3-40e8-a802-e2f35e9c0e43,35442,30--10--2022
